,Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
182,183,RE,SZA ,Good Days,35,5,(x4),7011751,218130.0,380181056
183,184,+11,Post Malone ,Sunflower,216,1,(x2),7010924,209189.0,2432366466
184,185,-9,Ed Sheeran ,Shape of You,299,1,(x14),6911228,-188479.0,3234670723
185,186,-16,Dua Lipa ,Levitating,115,4,(x14),6899292,-283697.0,1568650961
186,187,-29,Doja Cat ,Woman,76,6,(x14),6891308,-428980.0,1104249956
187,188,NEW,Hotel Ugly ,Shut up My Moms Calling,1,188,(x14),6885912,-428980.0,6885912
188,189,-62,James Hype ,Ferrari,28,34,(x14),6882511,-1165062.0,266589180
189,190,-24,Dua Lipa ,Don't Start Now,157,2,(x1),6850781,-360493.0,2037830212
190,191,-14,Shakira ,Te Felicito,35,13,(x1),6823173,-262572.0,424378574
191,192,RE,Coldplay ,My Universe,63,3,(x1),6816197,-262572.0,800539723
192,193,-11,Taylor Swift ,"You're On Your Own, Kid",11,6,(x1),6802122,-153304.0,181095035
193,194,RE,Taylor Swift ,Don’t Blame Me,28,72,(x1),6797641,-153304.0,213575473
194,195,-1,Tears For Fears ,Everybody Wants To Rule The World,24,105,(x1),6783096,-20896.0,165830503
195,196,NEW,PinkPantheress ,Boy's a liar,1,196,(x1),6764722,-20896.0,6764722
196,197,-8,Pritam ,Kesariya,11,71,(x1),6739427,-101231.0,84426152
197,198,RE,Hozier ,Take Me To Church,202,1,(x5),6717421,-101231.0,1058553367
198,199,NEW,MC K.K ,Agudo Mágico 3,1,199,(x5),6713237,-101231.0,6713237
199,200,RE,Maroon 5 ,Payphone,50,70,(x5),6713045,-101231.0,320478893
